YEAR,NAME,TEAM,R,H,HR,RBI,AVG
2013,임동규,드림즈,80,156,29,98,0.305
2014,임동규,드림즈,92,153,31,100,0.356
2015,임동규,드림즈,94,174,33,123,0.318
2016,임동규,드림즈,99,195,31,144,0.376
2017,임동규,드림즈,96,176,26,120,0.342
2018,임동규,드림즈,92,179,25,103,0.339
2019,임동규,드림즈,81,178,40,114,0.338
2013,이병규,LG,39,130,5,74,0.348
2013,손아섭,롯데,83,172,11,69,0.345
2013,이진영,LG,41,121,3,62,0.329
2013,박용택,LG,79,156,7,67,0.328
2013,김태균,한화,41,110,10,52,0.319
2013,민병헌,두산,71,122,9,65,0.319
2013,박석민,삼성,61,126,18,76,0.318
2013,박병호,넥센,91,143,37,117,0.318
2013,최정,SK,75,137,28,83,0.316
2013,정성훈,LG,64,127,9,62,0.312
2013,신종길,KIA,55,117,4,50,0.31
2013,이종욱,두산,77,123,6,52,0.307
2013,최형우,삼성,80,156,29,98,0.305
2013,김현수,두산,63,131,16,90,0.302
2013,김강민,SK,39,106,10,55,0.301
2013,최진행,한화,39,110,8,53,0.3
2013,홍성흔,두산,61,140,15,72,0.299
2013,김상수,삼성,57,111,7,44,0.298
2013,배영섭,삼성,66,116,2,38,0.295
2013,이용규,KIA,74,115,2,22,0.295
2013,박정권,SK,56,106,18,70,0.292
2013,강정호,넥센,67,131,22,96,0.291
2013,나지완,KIA,57,125,21,96,0.287
2013,이택근,넥센,73,137,9,66,0.287
2013,정현석,한화,47,102,4,27,0.287
2013,박한이,삼성,56,112,6,55,0.284
2013,김민성,넥센,60,129,15,72,0.282
2013,조영훈,NC,38,107,6,39,0.282
2013,정근우,SK,64,114,9,35,0.28
2013,이호준,NC,46,123,20,87,0.278
2013,김종호,NC,72,129,0,22,0.277
2013,모창민,NC,57,109,12,51,0.276
2013,전준우,롯데,65,125,7,66,0.275
2013,황재균,롯데,70,134,7,56,0.274
2013,정의윤,LG,42,100,5,47,0.272
2013,손주인,LG,42,93,3,41,0.265
2013,정훈,롯데,50,88,5,37,0.258
2013,이대수,한화,54,100,4,42,0.256
2013,오지환,LG,81,113,9,47,0.256
2013,조동화,SK,52,85,0,19,0.256
2013,박종윤,롯데,37,97,7,58,0.255
2013,이승엽,삼성,62,112,13,69,0.253
2013,안치홍,KIA,56,103,3,39,0.249
2013,이범호,KIA,56,108,24,73,0.248
2013,나성범,NC,55,98,14,64,0.243
2013,장기영,넥센,54,87,2,30,0.242
2013,강민호,롯데,48,77,11,57,0.235
