NAME,MONTH,TEAM,R,H,HR,RBI,AVG
오재일,3,두산,3,4,1,5,0.16
오재일,4,두산,9,11,2,8,0.204
오재일,5,두산,14,23,5,20,0.256
오재일,6,두산,8,22,1,11,0.338
오재일,7,두산,15,22,3,15,0.349
오재일,8,두산,14,29,6,23,0.349
오재일,9,두산,13,25,3,20,0.305
오재일,10,두산,0,1,0,0,0.2
페르난데스,3,두산,7,11,0,6,0.393
페르난데스,4,두산,19,38,7,24,0.392
페르난데스,5,두산,15,32,3,16,0.299
페르난데스,6,두산,10,36,1,10,0.356
페르난데스,7,두산,10,17,2,10,0.266
페르난데스,8,두산,13,38,2,19,0.396
페르난데스,9,두산,13,22,0,3,0.293
페르난데스,10,두산,0,3,0,0,0.75
민병헌,3,롯데,8,12,0,3,0.375
민병헌,4,롯데,3,8,0,1,0.615
민병헌,5,롯데,6,11,1,3,0.5
민병헌,6,롯데,14,26,4,17,0.286
민병헌,7,롯데,7,13,0,2,0.194
민병헌,8,롯데,9,26,3,7,0.299
민병헌,9,롯데,5,15,1,9,0.283
민병헌,10,롯데,0,1,0,1,0.25
전준우,3,롯데,4,9,2,8,0.281
전준우,4,롯데,18,24,4,8,0.279
전준우,5,롯데,18,36,3,16,0.333
전준우,6,롯데,17,29,4,18,0.322
전준우,7,롯데,11,22,5,14,0.319
전준우,8,롯데,12,26,3,8,0.289
전준우,9,롯데,4,18,1,11,0.269
전준우,10,롯데,1,0,0,0,0
이대호,3,롯데,0,7,0,9,0.241
이대호,4,롯데,8,24,2,16,0.293
이대호,5,롯데,18,41,7,31,0.383
이대호,6,롯데,5,19,2,11,0.213
이대호,7,롯데,5,11,1,4,0.172
이대호,8,롯데,11,27,3,15,0.325
이대호,9,롯데,1,7,1,2,0.259
이대호,10,롯데,0,2,0,0,0.5
김헌곤,3,삼성,6,11,2,9,0.314
김헌곤,4,삼성,3,8,0,3,0.17
김헌곤,5,삼성,13,31,0,9,0.356
김헌곤,6,삼성,15,28,2,14,0.304
김헌곤,7,삼성,7,11,0,3,0.306
김헌곤,8,삼성,10,26,1,7,0.299
김헌곤,9,삼성,3,7,0,1,0.259
김헌곤,10,삼성,0,0,0,0,0
러프,3,삼성,4,6,1,6,0.261
러프,4,삼성,11,21,3,12,0.313
러프,5,삼성,8,19,2,18,0.264
러프,6,삼성,20,28,6,18,0.346
러프,7,삼성,13,16,3,14,0.232
러프,8,삼성,12,26,3,15,0.313
러프,9,삼성,12,22,4,18,0.286
러프,10,삼성,0,0,0,0,0
이정후,3,키움,4,7,0,1,0.226
이정후,4,키움,12,29,1,14,0.302
이정후,5,키움,20,40,3,11,0.345
이정후,6,키움,16,33,1,8,0.367
이정후,7,키움,6,20,0,12,0.286
이정후,8,키움,20,37,1,18,0.339
이정후,9,키움,11,26,0,4,0.433
이정후,10,키움,2,1,0,0,0.5
박병호,3,키움,7,9,2,6,0.281
박병호,4,키움,21,25,5,14,0.385
박병호,5,키움,15,22,6,17,0.242
박병호,6,키움,5,10,3,11,0.25
박병호,7,키움,11,15,2,13,0.263
박병호,8,키움,21,25,11,27,0.272
박병호,9,키움,12,14,4,10,0.275
박병호,10,키움,0,1,0,0,0.25
샌즈,3,키움,3,8,0,3,0.296
샌즈,4,키움,25,35,4,24,0.357
샌즈,5,키움,14,28,6,30,0.267
샌즈,6,키움,13,24,5,16,0.32
샌즈,7,키움,19,25,6,15,0.379
샌즈,8,키움,20,29,6,19,0.302
샌즈,9,키움,6,11,1,6,0.19
샌즈,10,키움,0,0,0,0,0
김태균,3,한화,8,11,1,7,0.393
김태균,4,한화,8,18,0,4,0.269
김태균,5,한화,6,19,0,4,0.339
김태균,6,한화,8,28,3,19,0.329
김태균,7,한화,4,19,1,9,0.264
김태균,8,한화,7,20,0,12,0.294
김태균,9,한화,6,17,1,7,0.298
김태균,10,한화,0,0,0,0,0
정은원,3,한화,4,8,0,6,0.286
정은원,4,한화,15,29,3,14,0.322
정은원,5,한화,20,29,1,11,0.279
정은원,6,한화,17,30,1,10,0.309
정은원,7,한화,7,16,0,6,0.203
정은원,8,한화,10,19,1,6,0.207
정은원,9,한화,10,17,2,4,0.23
정은원,10,한화,0,0,0,0,0
이성열,3,한화,11,10,4,11,0.417
이성열,4,한화,6,8,2,7,0.211
이성열,5,한화,11,20,3,17,0.213
이성열,6,한화,11,21,4,18,0.28
이성열,7,한화,9,15,5,9,0.254
이성열,8,한화,5,14,3,12,0.212
이성열,9,한화,7,18,0,11,0.31
이성열,10,한화,0,0,0,0,0
안치홍,3,KIA,5,9,0,2,0.31
안치홍,4,KIA,13,22,1,9,0.31
안치홍,5,KIA,10,34,1,17,0.33
안치홍,6,KIA,7,14,1,6,0.368
안치홍,7,KIA,2,8,0,3,0.222
안치홍,8,KIA,8,27,2,12,0.329
안치홍,9,KIA,0,0,0,0,0
안치홍,10,KIA,0,0,0,0,0
최형우,3,KIA,6,7,1,6,0.241
최형우,4,KIA,12,22,2,17,0.275
최형우,5,KIA,16,32,5,14,0.32
최형우,6,KIA,11,21,4,18,0.276
최형우,7,KIA,4,11,2,10,0.22
최형우,8,KIA,13,32,1,13,0.376
최형우,9,KIA,3,12,2,8,0.333
최형우,10,KIA,0,0,0,0,0
강백호,3,KT,3,15,2,5,0.417
강백호,4,KT,17,25,2,11,0.26
강백호,5,KT,20,30,3,14,0.337
강백호,6,KT,14,33,1,8,0.398
강백호,8,KT,13,26,4,17,0.351
강백호,9,KT,5,18,1,10,0.3
강백호,10,KT,0,0,0,0,0
로하스,3,KT,3,6,0,1,0.2
로하스,4,KT,7,28,4,15,0.298
로하스,5,KT,12,36,4,19,0.36
로하스,6,KT,14,26,7,25,0.366
